StartTime,EndTime,Type,Duration,PairStatus,trust_binary
12:50:16,12:51:01,4,45.0,Paired,0
12:51:01,12:51:38,4,37.0,Paired,1
12:51:38,12:52:10,4,32.0,Paired,0
12:52:10,12:52:38,4,28.0,Paired,1
12:52:38,12:53:05,4,27.0,Paired,0
12:53:05,12:53:36,4,31.0,Paired,0
12:53:36,12:54:06,4,30.0,Paired,1
12:54:06,12:54:36,4,30.0,Paired,1
12:54:36,12:55:00,4,24.0,Paired,0
12:55:00,12:55:28,4,28.0,Paired,1
12:55:28,12:55:54,4,26.0,Paired,0
12:55:54,12:56:13,4,19.0,Paired,1
12:56:13,12:56:36,4,23.0,Paired,1
12:56:36,12:57:00,4,24.0,Paired,1
12:57:00,12:57:23,4,23.0,Paired,1
12:57:23,12:57:42,4,19.0,Paired,0
12:57:42,12:58:03,4,21.0,Paired,0
12:58:03,12:58:24,4,21.0,Paired,1
12:58:24,12:58:46,4,22.0,Paired,1
13:02:31,13:03:15,5,44.0,Paired,1
13:03:15,13:03:54,5,39.0,Paired,1
13:03:54,13:04:34,5,40.0,Paired,1
13:04:35,13:05:08,5,33.0,Paired,0
13:05:08,13:05:41,5,33.0,Paired,0
13:05:41,13:06:08,5,27.0,Paired,0
13:06:08,13:06:36,5,28.0,Paired,0
13:06:36,13:07:04,5,28.0,Paired,0
13:07:04,13:07:28,5,24.0,Paired,1
13:07:28,13:07:52,5,24.0,Paired,0
13:07:52,13:08:17,5,25.0,Paired,1
13:08:17,13:08:37,5,20.0,Paired,1
13:08:37,13:09:00,5,23.0,Paired,1
13:09:00,13:09:26,5,26.0,Paired,1
13:09:26,13:09:46,5,20.0,Paired,1
13:09:46,13:10:11,5,25.0,Paired,0
13:10:11,13:10:38,5,27.0,Paired,0
13:10:38,13:11:03,5,25.0,Paired,0
13:11:03,13:11:22,5,19.0,Paired,0
13:14:09,13:14:51,6,42.0,Paired,1
13:14:51,13:15:15,6,24.0,Paired,1
13:15:15,13:15:48,6,33.0,Paired,0
13:15:48,13:16:15,6,27.0,Paired,0
13:16:15,13:16:34,6,19.0,Paired,1
13:16:34,13:17:02,6,28.0,Paired,1
13:17:02,13:17:29,6,27.0,Paired,1
13:17:29,13:17:52,6,23.0,Paired,0
13:17:52,13:18:10,6,18.0,Paired,0
13:18:10,13:18:33,6,23.0,Paired,1
13:18:33,13:18:53,6,20.0,Paired,1
13:18:53,13:19:10,6,17.0,Paired,1
13:19:10,13:19:32,6,22.0,Paired,1
13:19:32,13:19:55,6,23.0,Paired,0
13:19:55,13:20:18,6,23.0,Paired,0
13:20:18,13:20:35,6,17.0,Paired,0
13:20:35,13:20:55,6,20.0,Paired,0
13:20:55,13:21:15,6,20.0,Paired,1
13:22:13,13:22:41,7,28.0,Paired,0
13:22:41,13:23:14,7,33.0,Paired,0
13:23:14,13:23:36,7,22.0,Paired,1
13:23:36,13:23:55,7,19.0,Paired,1
13:23:55,13:24:22,7,27.0,Paired,0
13:24:22,13:24:41,7,19.0,Paired,0
13:24:41,13:25:01,7,20.0,Paired,1
13:25:01,13:25:22,7,21.0,Paired,1
13:25:22,13:25:42,7,20.0,Paired,0
13:25:42,13:26:12,7,30.0,Paired,0
13:26:12,13:26:32,7,20.0,Paired,1
13:26:32,13:26:53,7,21.0,Paired,1
13:26:53,13:27:08,7,15.0,Paired,1
13:27:08,13:27:29,7,21.0,Paired,0
13:27:29,13:27:45,7,16.0,Paired,0
13:27:45,13:28:01,7,16.0,Paired,0
13:28:01,13:28:20,7,19.0,Paired,0
13:28:20,13:28:40,7,20.0,Paired,1
13:29:27,13:29:47,8,20.0,Paired,0
13:29:47,13:30:06,8,19.0,Paired,0
13:30:06,13:30:28,8,22.0,Paired,0
13:30:28,13:30:46,8,18.0,Paired,1
13:30:46,13:31:08,8,22.0,Paired,0
13:31:08,13:31:27,8,19.0,Paired,0
13:31:27,13:31:45,8,18.0,Paired,0
13:31:46,13:32:02,8,16.0,Paired,1
13:32:02,13:32:20,8,18.0,Paired,0
13:32:20,13:32:38,8,18.0,Paired,0
13:32:38,13:32:55,8,17.0,Paired,0
13:32:55,13:33:11,8,16.0,Paired,1
13:33:11,13:33:34,8,23.0,Paired,0
13:33:34,13:34:00,8,26.0,Paired,0
13:34:00,13:34:19,8,19.0,Paired,1
13:34:19,13:34:36,8,17.0,Paired,1
13:34:36,13:34:57,8,21.0,Paired,1
13:34:57,13:35:14,8,17.0,Paired,1
13:35:14,13:35:30,8,16.0,Paired,1
